,Time,Text
51,2019-01-02 23:59:30+00:00,brianagude chase bankofamerica i literally despise chase
52,2020-11-06 18:51:33+00:00,learn edge computing market growing how designing selecting the proper solid state drive important.
53,2019-01-02 23:58:00+00:00,bank of america here stocks like for the beginning the year
54,2019-01-02 23:57:25+00:00,wayne hornets willyhg nicolasbatum devontegraham bankofamerica okay wayne lol
55,2019-01-02 23:57:11+00:00,traders sell bank america bac strength bac stocks
56,2019-01-02 23:57:10+00:00,traders sell bank america bac strength bac
57,2019-01-02 23:56:12+00:00,"i at bank america new york, ny"
58,2019-01-02 23:55:03+00:00,"hornets willyhg nicolasbatum devontegraham bankofamerica this one isn’t woke enough me gang. i need equal representation trans, polygamist, whatever amanda teague or else i’ve got sit one out."
59,2019-01-02 23:54:32+00:00,hornets willyhg nicolasbatum devontegraham bankofamerica need shirt...
60,2019-01-02 23:52:30+00:00,hornets willyhg nicolasbatum devontegraham bankofamerica we more equality your old school pinstripe uniforms?
61,2019-01-02 23:52:26+00:00,hornets willyhg nicolasbatum devontegraham bankofamerica start new year right way
62,2019-01-02 23:49:03+00:00,visit to activate bank america edd card &amp; check balance online
63,2019-01-02 23:47:16+00:00,buy bank of america recession fears are overblown
64,2019-01-02 23:42:33+00:00,bac buy bank of america recession fears are overblown
65,2019-01-02 23:35:24+00:00,"ksamzzz kristen, thanks the follow i here give bank america hell i appreciate support making project happen."
66,2019-01-02 23:32:18+00:00,"dylansrawtake bank america stadium, i’m little biased ‍️ panthers"
67,2019-01-02 23:29:32+00:00,why should consider opening bank america a year rewards credit card
68,2019-01-02 23:28:20+00:00,hello rt tbynum first selfie the new year hello bank america
69,2019-01-02 23:27:32+00:00,bank america new patent to build blockchain driven atm network innovation blockchain
70,2019-01-02 23:24:05+00:00,"update bankofamerica longer allows all new recurring transfers other accounts their bank unless own account. can set up the phone, a branch, online. it s just impossible. and something i done them a dozen years. frustrated"
71,2019-01-02 23:23:00+00:00,bankofamerica i been waiting hold minutes now... this normal response time? ever heard an option called leave number get called back?
72,2019-01-02 23:18:23+00:00,king izac bank america?
73,2019-01-02 23:18:00+00:00,still pissed two months ago i charged a fraud charge bankofamerica determined claim false
74,2019-01-02 23:16:48+00:00,first selfie the new year hello bank america
75,2019-01-02 23:15:37+00:00,"gmmecffee bankofamerica a valid complaint our flagpole i documented complaint our regional manager...a week later, removed flagpole.. no flag flying. i so embarrassed."
76,2019-01-02 23:14:49+00:00,"gmmecffee bankofamerica want hear crazy story, sir? i worked branch new mexico years every time nice old man a vet came in, would yell flag etiquette something always was wrong. i be honest. i t know everything. one time came with..."
77,2019-01-02 23:13:44+00:00,fieldsduck hi patrick. bank america a number programs place help clients facing financial difficulty. we work clients a case case basis help address financial needs.^ines
78,2019-01-02 23:11:48+00:00,damedorse bankofamerica what happened
79,2019-01-02 23:11:25+00:00,carrielthearie bankofamerica i used work bofa really employee id numbers. they these things called nbk zk numbers if are a third party call center they don t technically work bofa was the claims checking accounts called?
80,2019-01-02 23:09:39+00:00,fieldsduck bofa help bankofamerica i answer them no.
81,2019-01-02 23:09:24+00:00,texlupverizon bankofamerica what their reasoning? that s insane
82,2019-01-02 23:09:12+00:00,caseydrane bankofamerica at least are consistent. lol jk. that sucks tho
83,2019-01-02 23:09:08+00:00,mrsblackshire sonyalpha nitashiajohnson chase bankofamerica chase that’s good business
84,2019-01-02 23:07:30+00:00,thank for taking care my account it been hacked. appreciate actions correct and prevent happening again. uber support bankofamerica i hope actually visit uk some day
85,2019-01-02 23:02:27+00:00,"goelankit hello. since received suspicious call someone claiming be bank america, not respond, provide information. if entered any of information, please send us your full name/zip code/phone number. thank you.^armando"
86,2019-01-02 22:56:53+00:00,bankofamerica an account holder i turned away the rowlett tx lobby they close minutes. inwood national bank not that
87,2019-01-02 22:55:42+00:00,"bankofamerica everyyyyy time i call y’all, i wait hour talk someone. min counting"
88,2019-01-02 22:55:22+00:00,"bofa help, bankofamerica anything help account holders affected governmentshutdown?"
89,2019-01-02 22:54:08+00:00,why should consider opening bank america a year rewards credit card
90,2019-01-02 22:51:15+00:00,why should consider opening bank america a year rewards credit card
91,2019-01-02 22:47:57+00:00,called bankofamerica balance transfer bofa help instead fucked over. closing shitty ass credit card a.s.a.p.
92,2019-01-02 22:42:33+00:00,"erica content strategist – bank america corporation – boston erica content strategist, bank america. at bank america, we’re guided a common purpose. help make financial lives better connecting clients communities the… job boston"
93,2019-01-02 22:42:07+00:00,bank america checking bonus – public &amp; nationwide
94,2019-01-02 22:40:34+00:00,"barnacules indoor smoking? yes. tweed? no, polyester. also, i from california at time bank america atm card was not allowed work the lobby bofa atm machine regional restrictions. st world geezer problems ️"
95,2019-01-02 22:40:26+00:00,"bankofamerica so i see claims department located tennessee fails do jobs usual asked a supervisor, wouldn put one one phone, everytime ask their employee id number, refused by way, young lady name amy"
96,2019-01-02 22:38:57+00:00,bank america literally the worst customer service ever
97,2019-01-02 22:38:38+00:00,bankofamerica discriminate people don live est timezone especially clients hawaii i demand their dates times have timezone indicator least
98,2019-01-02 22:36:06+00:00,bank america announces new denver market leader denver business journal
99,2019-01-02 22:35:07+00:00,i’m that old i’ve banking bankofamerica yrs today most terrible customer service experience i’ve ever been through
100,2019-01-02 22:32:05+00:00,i’ve banked bank america years. during time they’ve shut account card x reason with no warning. one time too many
101,2019-01-02 22:26:14+00:00,perks to bank america annual rewards credit ard via youtube
102,2019-01-03 23:58:55+00:00,bankscrewedus bankofamerica bidmchealth they nfc readers are tagged contactless payment logo. not sure they would go effort atms that can support the tech.
103,2020-11-06 18:51:33+00:00,learn edge computing market growing how designing selecting the proper solid state drive important.
104,2019-01-03 23:56:37+00:00,bank america files blockchain &amp; ;atm a service&amp; ; patent via coindesk
105,2019-01-03 23:53:55+00:00,bank america / merrill lynch where for fx
106,2019-01-03 23:53:50+00:00,i vebeenonholdwith bankofamericaforminutes.
107,2019-01-03 23:53:41+00:00,bank america account got figures
108,2019-01-03 23:52:23+00:00,erica faith bankofamerica wow. that weird i not sure ai desirable
109,2019-01-03 23:52:19+00:00,"fl bank america / merrill lynch where for fx january , pm"
110,2019-01-03 23:50:36+00:00,bac bank of america undervalued by but is it a buy?
111,2019-01-03 23:49:58+00:00,annie hi annie. bank america a number programs place help clients facing financial difficulty. we work clients a case case basis help address financial needs. ^ines
112,2019-01-03 23:49:30+00:00,issue all knew salient clear spoke the greater issue few realized bach gwynn only one worked bank america and that was the connection that furthered the advancement syndication bank loaning processes
