,Time,Text
0,2019-01-07 21:28:38+00:00,saudi arabian oil company armaco invest billions gawadar city.
1,2019-01-12 18:20:25+00:00,"senategop housegop naturecomms “… found companies responsible global emissions since .“ “most of these coal oil producing companies include exxonmobil, shell, bp, chevron, gazprom, the saudi arabian oil company” aramco …"
2,2019-01-12 02:24:30+00:00,have posed question irving oil? canada not import saudi arabian oil you well know. the irving oil company the hand does. how stupid you really think canadians are? we all are not your base. cdnpoli
3,2019-01-22 08:53:01+00:00,corporates acronyms aramco arabian american oil company saudi aramco sabic saudi basic industries corporation stc saudi telecom company sama saudi arabian monetary authority samba saudi american bank mbc middle east broadcasting center sabb saudi british bank
4,2019-01-25 10:02:15+00:00,"green petroleum coke global market key players – saudi arabian oil company, reliance industries limited, indian oil corporation limited, chevron corporation, bp plc.... via industrytoday"
5,2019-01-28 20:57:43+00:00,saleh i. airurriaih/abdulrahman bayounis behalf aramco affiliated services company aasc saudi arabian oil company saudi aramco government the kingdom saudi arabia
