,Time,Text
42,2019-01-01 16:06:58+00:00,polixenes ravenvanderrave pluginfud teslacharts davidein wallstcynic genemunster shell exxonmobil the idea tesla owners fighting one another spots busy stations mushroom. beyond brand dilution incidents may require security adding again totally
43,2019-01-01 16:05:06+00:00,"polixenes ravenvanderrave pluginfud teslacharts davidein wallstcynic genemunster shell exxonmobil if current growing complaints wait times, downed chargers not addressed asap whole new slew issues be presented."
44,2019-01-01 16:03:45+00:00,"polixenes ravenvanderrave pluginfud teslacharts davidein wallstcynic genemunster shell exxonmobil superchargers stations entirely different. each station the chargers require human capital, technical skills oversight."
45,2019-01-01 16:01:44+00:00,polixenes ravenvanderrave pluginfud teslacharts davidein wallstcynic genemunster shell exxonmobil with currently one factory many discounting administration these stations. it one thing have tent oversight. but monitoring globally
46,2019-01-01 15:59:42+00:00,"polixenes ravenvanderrave pluginfud teslacharts davidein wallstcynic genemunster shell exxonmobil the technology, operations maintenance a logistical nightmare. owning operations networks an entirely different core competence the cars."
47,2019-01-01 15:57:40+00:00,"exxonmobil tax payers whose still paying deserve more, someone needs be held accountable, was one persons brain child that person needs be held accountable, show the money"
48,2019-01-01 15:57:04+00:00,"polixenes ravenvanderrave pluginfud teslacharts davidein wallstcynic genemunster shell exxonmobil while many obsess quarterly production, imho, elephant the room the superchargers stations counting.constraints aside already leading fights"
49,2019-01-01 15:54:39+00:00,"exxonmobil same you, convert renewable energy, solar lights poor countries communities, i at a loss words gm, billion dollars laying , people nine years later, did do the money?"
50,2019-01-01 15:51:11+00:00,guyanaoilgas getguyanaready guyana no need merrill lynch – dr. mangal. given mistakes made exxonmobil contract…guyana not enter one one negotiations other oil companies
51,2019-01-02 23:45:01+00:00,the ip philanthropy awards most self serving corporate philanthropy exxonmobil’s carbon tax donation exxonmobil
52,2019-01-02 22:53:41+00:00,"also, partnership btw exxonmobil andlingercenter resulted the co. sponsoring collaborating &gt; projects across princeton, developing new catalysts, measuring sea level rise understanding charge transport polymers, developing low plasma combustion."
53,2019-01-02 22:15:45+00:00,just few captured moments day qatar exxonmobil open qatartennis atptour exxonmobil
54,2019-01-02 22:10:11+00:00,pauledawson .you obviously one the merchants consensus who knew? exxonmobil ... enronknew climatechangeisreal climatechange
55,2019-01-02 21:39:30+00:00,article bigoil hydrogen energy scam. climatechange globalwarming shell exxonmobil saudi aramco bp plc total chinapetro chevron sustainable
56,2019-01-02 21:26:40+00:00,en image qatar exxonmobil open day photo tnani badreddine
57,2019-01-02 21:13:27+00:00,griffon questions exxonmobil’s selection goil cape three oil block
58,2019-01-02 21:09:09+00:00,"exxonmobil eu but s ""clean"" it? not compared renewables"
59,2019-01-02 20:51:23+00:00,the match order the th day qatar exxonmobil open . join us atptour exxonmobil qatartennis
60,2019-01-02 20:45:56+00:00,check exxonmobil baytown opoly board game baytown texas oil gas refinery plants new via ebay
61,2019-01-02 20:38:00+00:00,georgian tennis player nikoloz basilashvili overcame russia andrey rublev set love the qatar exxonmobil open tennis championship andreyrublev qatartennis nikolozbasilashvili qatarexxonmobil atp qatartennis
62,2019-01-02 20:29:25+00:00,"qatar exxonmobil open nd round tomas berdych beat ferverdasco , ,"
63,2019-01-02 20:19:00+00:00,"slowfoodva gladstein time jmpuentec fmonaldi he forcefully renegotiated joint ventures operational contracts foreign companies partially nationalized them. exxonmobil conocophillips withdrew the country a result. thereafter, relevant new oil projects been completed."
64,2019-01-02 20:05:51+00:00,exxonmobil attack shareholder reduce greenhouse gas emissions operations product use corpgov
