,Time,Text
61,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
62,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
63,2019-01-02 23:42:05+00:00,utilities commission approves icbc’s interim . rate hike
64,2019-01-02 23:42:04+00:00,utilities commission approves icbc’s interim . rate hike
65,2019-01-02 23:42:04+00:00,utilities commission approves icbc’s interim . rate hike
66,2019-01-02 23:42:04+00:00,utilities commission approves icbc’s interim . rate hike
67,2019-01-02 23:42:03+00:00,utilities commission approves icbc’s interim . rate hike
68,2019-01-02 23:41:08+00:00,utilities commission approves icbc’s interim . rate hike
69,2019-01-02 23:41:08+00:00,utilities commission approves icbc’s interim . rate hike
70,2019-01-02 23:41:07+00:00,utilities commission approves icbc’s interim . rate hike
71,2019-01-02 23:41:07+00:00,utilities commission approves icbc’s interim . rate hike
72,2019-01-02 23:41:07+00:00,utilities commission approves icbc’s interim . rate hike
73,2019-01-02 23:41:07+00:00,utilities commission approves icbc’s interim . rate hike
74,2019-01-02 23:41:07+00:00,utilities commission approves icbc’s interim . rate hike
75,2019-01-02 23:41:07+00:00,utilities commission approves icbc’s interim . rate hike
76,2019-01-02 23:41:07+00:00,utilities commission approves icbc’s interim . rate hike
77,2019-01-02 23:41:06+00:00,utilities commission approves icbc’s interim . rate hike
78,2019-01-02 23:41:06+00:00,utilities commission approves icbc’s interim . rate hike
79,2019-01-02 23:41:06+00:00,utilities commission approves icbc’s interim . rate hike
80,2019-01-02 23:41:06+00:00,utilities commission approves icbc’s interim . rate hike
81,2019-01-02 23:41:06+00:00,utilities commission approves icbc’s interim . rate hike
82,2019-01-02 23:41:06+00:00,utilities commission approves icbc’s interim . rate hike
83,2019-01-02 23:41:06+00:00,utilities commission approves icbc’s interim . rate hike
84,2019-01-02 23:41:06+00:00,utilities commission approves icbc’s interim . rate hike
85,2019-01-03 23:57:47+00:00,"scourdx vanreport on deeper thought, chartered professional accountants bc cpabc needs severe provincial level david eby style icbc audit. the last time i office, whole place asian except secretary &amp; lobby kpmg in press releases dave eby carolejames bcpoli"
86,2020-09-28 15:04:50+00:00,"our next rnabenchbedside speaker hardly needs introduction. don miss hearing n lorem founder ceo ionis founder executive chairman the board, drstanleycrooke. register attend natureconf today"
87,2019-01-03 23:50:17+00:00,"slowmanluis gardmackay globalbc it’s also important remember the bcliberals turned icbc a dumpster fire could privatize it. may , election results derailed that plan. bcpoli"
88,2019-01-03 23:50:05+00:00,"rt icbc shed light the roads make sure your headlights taillights on, driving heavy rain. knowyourpartbc bcstorm"
89,2019-01-03 23:47:16+00:00,""" icbc basic business been victim both unfriendly environment misguided provincial government policies."" john chant, fraser institute. timeforchange insurance canada votebc standupcanada"
90,2019-01-03 23:20:10+00:00,. icbc rate hike approved
91,2019-01-03 23:18:15+00:00,"wechcpc icbc ecomm info canuckula vpdfox cstwoods vancouverpd vpdtrafficunit cityofvancouver westendbia westendcc tbt one city byan approach road safety. maybe one a number reasons, elected."
92,2019-01-03 23:17:22+00:00,. icbc rate hike approved
93,2019-01-03 23:16:56+00:00,icbc gets green light hike insurance rates .
94,2019-01-03 23:16:45+00:00,icbc found liable surrey hit run crash
95,2019-01-03 23:13:35+00:00,"icbc financial dumpster fire, says bc attorney general canadanewsmedia"
96,2019-01-03 23:09:32+00:00,johnnieoil bcndp jjhorgan icbc bcliberalcaucus the way privatized to vote a conservative bc government. then liquor stores other miscellaneous crap will be private. better service cost savings the province.
