,curr_close,prev_close,pos_sentiment,neg_sentiment
0,1,0,46.400108044940055,34.22036596063892
1,0,1,138.40467417956836,97.16970716076365
2,1,0,98.3212534755456,90.27960659003712
3,1,1,55.81177232077815,41.73535520753747
4,1,1,29.60806036407809,21.908680951875596
5,1,1,42.887675401389465,32.37915032398279
6,0,1,74.38506088957426,60.598952991722385
7,0,0,18.51742330109455,9.03416252051538
8,0,0,29.640188736844106,15.66950397444044
9,1,0,10.02289642961401,-0.13279535070444526
10,1,1,32.1235423446334,12.296626666782217
11,1,1,10.02289642961401,-0.13279535070444526
12,1,1,8.958752606333064,-1.1443073629654354
13,0,1,40.66288295229602,27.985563427515366
14,1,0,45.721064908139944,35.97894376517196
15,1,1,40.01651808116014,19.227256158454225
16,1,1,5.47148181376306,-1.2986220551716205
17,0,1,47.80020180808293,41.298692103284644
18,0,0,40.6208538218215,0.977406375933604
19,1,0,30.36680559804316,21.938006003732873
20,1,1,28.054376910357252,13.145495342049358
21,0,1,10.02289642961401,-0.13279535070444526
22,1,0,49.13327061710288,23.892286555189262
23,1,1,48.839862274230015,27.949704135458788
24,0,1,18.36532909020816,9.383520304972485
25,0,0,33.04999558988255,22.902211184987657
26,0,0,8.386455569950574,-1.1491783242483113
27,1,0,44.238194743516445,24.46084491526942
28,1,1,40.980232523739645,29.742615517828696
29,1,1,11.827514314622002,11.747076129694113
30,0,1,7.667829261909003,-2.46508367053918
31,0,0,15.009777355979981,26.608987604886895
32,1,0,50.95143092196621,33.1680158740199
33,0,1,55.494547708367485,24.021754792619205
34,0,0,18.755220118955993,11.254849835101872
35,1,0,9.325769473319179,-0.04035215100599787
36,1,1,58.354780327375934,47.379888847298865
37,1,1,31.84958765713576,22.810052102492065
38,1,1,9.322078361691627,7.736438052654691
39,0,1,11.23035565068383,21.465832090847346
40,1,0,5.008707937959746,7.282320380743805
41,1,1,56.80340209375724,31.084211258151935
42,0,1,71.7376732403369,59.605894191585335
43,0,0,16.560614572345546,9.559611312015804
44,0,0,21.370619392005324,38.5503166399624
45,0,0,48.34497612868032,27.012476618553038
46,1,0,34.824807260395716,23.23926316767814
47,1,1,50.30560144184022,51.40055277305741
48,1,1,76.79628658277817,56.86913180627726
49,0,1,60.55908825298693,42.691979176478696
50,1,0,73.41483374336327,21.694791734771925
51,1,1,39.860603011163874,38.664414713887325
52,1,1,86.87488659410384,75.63812646212394
53,1,1,29.04700655451153,6.332778559384167
54,1,1,16.279981300005634,9.55436608635965
55,0,1,30.45698009103808,5.869513935898247
56,1,0,39.78693851793267,20.64105142887558
57,1,1,52.075145528596714,49.02741122050968
58,0,1,54.85097352614773,-2.6058470798910354
59,1,0,42.015045392787776,44.06812535136636
60,1,1,59.797775641235106,38.97262452414752
61,1,1,43.36213612937428,17.835973361219278
62,0,1,20.050866627105435,15.286861804803003
63,1,0,38.77523454667361,28.457668137916116
64,0,1,14.042329393861909,35.0793688960279
65,1,0,73.41678687012198,52.76940669449725
66,1,1,66.72479967384373,53.49154104010257
67,0,1,11.250010167456491,21.045396865534563
68,1,0,62.40440142861956,41.16256344927567
69,0,1,27.657920959605104,11.81360926627444
70,0,0,58.54911329921067,19.87052780954751
71,1,0,23.992564071615867,21.13215173790466
72,1,1,29.696307603241582,20.875983375784976
73,1,1,18.94821775915535,18.832515557779644
74,0,1,64.35070256658942,32.61338589063654
75,1,0,46.901469932810684,29.25803014225785
76,1,1,20.28577290210382,20.803194940220692
77,0,1,41.20127644781924,10.982797161752906
78,1,0,57.65934159063517,41.7419430810598
79,1,1,62.396105566439324,45.747792238613286
80,0,1,32.3843316584962,23.731963919320453
81,0,0,9.88431020988261,-1.489056664917911
82,0,0,21.496358041829016,26.95830292417625
83,0,0,97.34874364532521,50.92603476540954
84,1,0,10.02289642961401,-0.13279535070444526
85,0,1,17.438343156634662,20.85754015701657
86,0,0,33.523564090707424,23.25188485477109
87,0,0,49.08775956687867,33.11200097768716
88,0,0,49.28512925198745,54.29368512527567
89,0,0,58.92264995360076,67.01345268575248
90,0,0,32.00330906542202,29.816380051150986
91,1,0,55.19078441528482,45.573918709063975
92,1,1,48.003251198326005,43.547583093894886
93,1,1,87.29637436923448,104.60732564196203
94,0,1,63.45084478255463,10.28481414081385
95,0,0,19.514554944372662,10.771162913174756
96,0,0,29.750586602146154,18.548914344179543
97,1,0,29.77524329961341,19.836453735988727
98,0,1,39.76208514057728,11.489516003566251
99,1,0,68.554846000214,61.56326017079701
100,1,1,55.869722763623244,42.61362053341085
101,0,1,81.31823630992989,72.7447208920857
102,0,0,31.86252919652787,21.64111283201104
103,0,0,45.73026090521543,8.6988171656118
104,0,0,43.60907874790826,6.979424568518155
105,1,0,21.50592444208228,29.16551737975695
106,1,1,81.8379339916902,41.1211920651185
107,1,1,22.51627140647457,20.661617689325276
108,1,1,36.01496571687261,-2.1088446753495735
109,1,1,39.77107453087466,26.88286947111672
110,1,1,30.0356785790328,1.9059081550903083
111,0,1,29.530686353589417,19.668287413991756
