,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-12-11,35.200001,35.200001,35.200001,35.200001,34.043957,31644128
1,2019-12-12,38.700001,38.700001,36.0,36.799999,35.591408,417927786
2,2019-12-15,37.099998,37.5,36.799999,37.400002,36.171707,81280398
3,2019-12-16,37.5,38.099998,37.5,38.0,36.752003,87581742
4,2019-12-17,38.049999,38.150002,37.5,37.75,36.510216,117910947
5,2019-12-18,37.5,37.599998,36.700001,36.700001,35.494694,69274894
6,2019-12-19,36.700001,36.75,35.5,35.5,34.334106,89355535
7,2019-12-22,35.599998,35.700001,34.900002,35.299999,34.140671000000005,32818159
8,2019-12-23,35.299999,35.650002,35.25,35.599998,34.430820000000004,29006686
9,2019-12-24,35.650002,35.700001,35.299999,35.400002,34.237389,18334164
10,2019-12-25,35.400002,35.400002,35.099998,35.200001,34.043957,11217138
11,2019-12-26,35.150002,35.349998,35.049999,35.349998,34.189029999999995,11457225
12,2019-12-29,35.299999,35.700001,35.299999,35.400002,34.237389,18980736
13,2019-12-30,35.400002,35.450001,35.150002,35.150002,33.995602000000005,10865390
14,2019-12-31,35.150002,35.25,35.049999,35.25,34.092312,13498159
