,Unnamed: 0,Time,Text,Sentiment
0,0,2019-01-07 21:28:38+00:00,saudi arabian oil company armaco invest billions gawadar city.,"[19.38989768148425, 19.30945949655636, -10.521679174008177]"
1,1,2019-01-12 18:20:25+00:00,"senategop housegop naturecomms “… found companies responsible global emissions since .“ “most of these coal oil producing companies include exxonmobil, shell, bp, chevron, gazprom, the saudi arabian oil company” aramco …","[60.9804909153762, 63.575999830456695, -8.541294832614057]"
2,2,2019-01-12 02:24:30+00:00,have posed question irving oil? canada not import saudi arabian oil you well know. the irving oil company the hand does. how stupid you really think canadians are? we all are not your base. cdnpoli,"[64.8731845924348, 48.500519026255105, -10.175919243475263]"
3,3,2019-01-22 08:53:01+00:00,corporates acronyms aramco arabian american oil company saudi aramco sabic saudi basic industries corporation stc saudi telecom company sama saudi arabian monetary authority samba saudi american bank mbc middle east broadcasting center sabb saudi british bank,"[82.91105305538566, 50.835663075454846, 3.021050931280641]"
4,4,2019-01-25 10:02:15+00:00,"green petroleum coke global market key players – saudi arabian oil company, reliance industries limited, indian oil corporation limited, chevron corporation, bp plc.... via industrytoday","[106.57873480305405, 97.1337341403022, 3.882602847986064]"
5,5,2019-01-28 20:57:43+00:00,saleh i. airurriaih/abdulrahman bayounis behalf aramco affiliated services company aasc saudi arabian oil company saudi aramco government the kingdom saudi arabia,"[52.78572473171001, 42.65734695442722, -9.251008978060284]"
