,Unnamed: 0,Time,Text,Sentiment
33,33,2019-01-01 21:21:40+00:00,free gypsy bankofamerica like am i punished being broke? i don’t choose live life way lmfaoo,"[9.73641251892278, 10.704302968199627, 0.31744883563484905]"
34,34,2019-01-01 21:19:22+00:00,bankofamerica can someone please help me? every form communication i’ve tried hasent work,"[4.818361255828504, -3.017014854991459, -10.784716089663704]"
35,35,2019-01-01 21:18:39+00:00,"noahpinion they blew one bank america berkeley than once. it a local joke every time rebuild bank, somebody blows up again.","[19.47479876536372, 19.048854369148756, 0.5123801647893771]"
36,36,2019-01-01 21:04:22+00:00,./ clubs «saturn aaa insurance ./ diamonds «uranus bank america ./ hearts «neptune nasdaq ./ queen clubs «mercury apple,"[33.80817670922731, 39.84909594713901, -10.639104278357678]"
37,37,2019-01-01 21:01:10+00:00,bank america’s ‘museums us’ returns,"[11.080299912791782, 9.49578433108762, -11.035126418163106]"
38,38,2019-01-01 20:56:05+00:00,"""rewards costs grew average in third quarter from year earlier bank america corp. , citigroup inc., jpmorgan, u.s. bancorp wells fargo &amp; co., according bank analyst charles peabody."" via wsj bac jpm c wfc","[103.05031732835016, 71.3373710933992, -8.978291074522119]"
39,39,2019-01-01 20:52:14+00:00,"agoldmund happened me starbucks, bank america, taco bell in la — definitely seems like a new ad service","[25.190305980918414, 26.807265181161227, -9.675629082691813]"
40,40,2019-01-01 20:50:11+00:00,bank america,"[0.15774845701401286, 7.549874182032308, -11.594742206098527]"
41,41,2019-01-01 20:45:45+00:00,"bankofamerica made clear they t care their customers. my wife a furloughed federal government employee who, along many others, out work indefinitely no pay. she told yesterday no payments be deferred, left us hanging.....","[29.684929339569994, 30.28108672701471, -8.665743563389114]"
42,42,2019-01-01 20:34:01+00:00,"our cahlberg speaks errolw bankofamerica the past, present, future threatintelligence cybersecurity infosec","[11.834631911288493, 10.68289544072816, -0.24273135673088575]"
43,43,2019-01-01 20:11:18+00:00,gerirosman nah. they announced outdoor games. the winterclassic the cotton bowl. someday it’ll be at bank america stadium the hurricanes. and better wear whalers gear,"[63.99853444024465, 71.58453295198846, -8.846415489495783]"
44,44,2019-01-01 19:53:24+00:00,land bank america stadium? panthers,"[12.743625533752454, 29.517857673601366, -11.210524310712529]"
